,Name,Venue ID,Lat,Lng,Category,Near Same Kind,Near Coffee Shops
120,The Bookmark Bookstore,4be7140a910020a1e1fed414,37.80041788402868,-122.27529150049689,Bookstore,False,False
121,Bookstore,4e3844a5149579ccbaf6319c,37.725658131501994,-122.45074066586211,Bookstore,True,False
122,American Management Association,4c6ab30735d3be9a3c7d2206,37.78509521484375,-122.40477752685547,Building,True,True
123,USF - Crossroads Café,4b72ec98f964a52000902de3,37.77652674530763,-122.44996227853814,College Cafeteria,True,False
124,City College Bookstore Annex,4b6a02a0f964a5209ac12be3,37.724027173309096,-122.45256807200656,College Bookstore,True,False
125,SFSU Bookstore,4a773a49f964a520e6e31fe3,37.722591733502405,-122.47839689254761,Bookstore,False,False
126,Dark Carnival Imaginative Fiction Bookstore,4bdb24443904a5938af5489e,37.85442975605492,-122.2482338134164,Bookstore,False,False
127,E.M. Wolfman Bookstore,536059fb11d2781b03da293d,37.80325929016895,-122.27064637279715,Bookstore,False,False
128,Bookstore - Skyline College,4bcdd6edb6c49c74b0019691,37.629956375106,-122.46804978357775,College Bookstore,False,False
129,Saint Mary's College of California Bookstore,4d79609694966a31e3555911,37.840138996236895,-122.10902999355359,College Bookstore,False,False
130,Bulldog Bookstore,4c7d313d5af8b60c0fcd8e10,37.53673375498665,-122.33551025390625,College Bookstore,False,False
